ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
Polytech_Orléans_-_Génie_industriel										0	0.0	0.0	4861*	4820*	7*	
Polytech_Orléans_-_Génie_physique_et_systèmes_embarqués										3	0.0	33.3	4899*	4789*	6*	
Polytech_Orléans_-_Innovation_en_Conception_et_Matériaux										1	0.0	100.0	5189*	5168*	8*	
Polytech_Orléans_-_Technologies_pour_l'Ã‰nergie,_l'Aérospatial_et_la_Motorisation										5	20.0	20.0	2709*	2544*	14*	
Polytech_Paris-Saclay__-_Electronique,_Energie,_Systèmes										5	0.0	0.0	3253*	2980*	6*	
Polytech_Paris-Saclay__-_Informatique										0	0.0	0.0	1768*	1680*	2*	
Polytech_Paris-Saclay__-_Photonique_et_systèmes_optroniques										2	0.0	0.0	4491*	4447*	5*	
Polytech_Paris-Saclay_-_Matériaux										0	0.0	0.0	4537*	4533*	4*	
Polytech_Sorbonne_-_Electronique_et_Informatique										1	0.0	0.0	2387*	2416*	4*	
Polytech_Sorbonne_-_Matériaux										2	0.0	50.0	4009*	4052*	8*	
Polytech_Sorbonne_-_Mathématiques_Appliquées_et_Informatique										0	0.0	0.0	656*	828*	3*	
Polytech_Sorbonne_-_Robotique										3	33.3	0.0	2785*	2497*	5*	
Polytech_Sorbonne_-_Sciences_de_la_Terre										2	50.0	0.0	4804*	4475*	15*	
Polytech_Tours_-_Ã‰lectronique,_Ã‰nergie_électrique										2	50.0	0.0	4745*	4525*	2*	
Polytech_Tours_-_Génie_de_l'aménagement_et_de_l'environnement										5	40.0	0.0	3760*	3505*	7*	
Polytech_Tours_-_Informatique										1	0.0	0.0	3425*	3203*	7*	
Polytech_Tours_-_Mécanique,_Conception_de_systèmes										1	0.0	0.0	4123*	3969*	7*	
Sup_Galilée__Villetaneuse										5	20.0	20.0	4532	4265	24*	
Concours POLYTECH MP - PC - PSI	2844	27.8	16.4				2144	27.1	16.1	192					739	
EFREI_Paris	1202	28.6	14.7				1108	28.7	15.0	22	13.6	0.0	990	937	40	
ELISA_Aérospace_Saint_Quentin_(80)	1202	28.6	14.7				529	28.7	17.8	4	0.0	25.0	450	443	15	
ESAIP_Angers_/_Aix-en-Provence	1202	28.6	14.7				1081	28.8	14.9	6	0.0	16.7	1060	1020	15	
ESEO_Angers_-_Paris_Vélizy	1202	28.6	14.7				829	29.0	14.6	2	50.0	0.0	793	793	20	
ESIEA_Paris_-_Laval	1202	28.6	14.7				1017	28.6	14.7	0	0.0	0.0	0	0	15	
ESIEE_Amiens	1202	28.6	14.7				941	28.9	14.5	3	0.0	66.7	733	747	12	
ESIEE_Paris	1202	28.6	14.7				1002	28.7	14.8	26	23.1	15.4	748	726	30	
HEI	1202	28.6	14.7				1127	28.8	14.8	24	33.3	37.5	986	939	25	
ISEN_Lille	1202	28.6	14.7				981	28.7	14.6	4	25.0	25.0	862	824	15	
ISEN_Yncréa_Méditerrannée_-_NÃ®mes										3	66.7	33.3	977	948	10	
ISEN_Yncréa_Méditerrannée_-_Toulon										8	25.0	50.0	897	739	10	
Concours ISEN MÃ©diterrannÃ©e PSI	1202	28.6	14.7				1054	28.7	15.1	11					20	
ISEN_Yncréa_Ouest_-_Brest										3	66.7	0.0	824	760	10	
ISEN_Yncréa_Ouest_-_Nantes										1	0.0	0.0	812	812	10	
Concours ISEN Ouest PSI	1202	28.6	14.7				1054	28.7	15.1	4					20	
ISEP_Paris	1202	28.6	14.7				1038	28.5	15.0	4	0.0	0.0	782	820	25	
3IL_Ingénieurs	1202	28.6	14.7				782	28.5	15.0	0	0.0	0.0	0	0	15	
ECE_LYON										5	20.0	20.0	924	900	8	
ECE_PARIS										34	23.5	20.6	1103	1065	45	
ECE_PARIS_(statut_apprentissage)										3	33.3	0.0	1188	1142	3	
Concours ECE Paris - Lyon PSI	1544	27.6	17.6				1364	27.5	18.1	42					56	
EIGSI_Casablanca	1544	27.6	17.6				1272	27.1	18.2	0	0.0	0.0	0	0	5	
EIGSI_La_Rochelle	1544	27.6	17.6				1272	27.1	18.2	26	34.6	7.7	1083	1050	30	
ESIGELEC_Rouen	1544	27.6	17.6				1424	27.8	18.1	21	42.9	28.6	1237	1159	40	
ESILV_Paris-La_Défense	1544	27.6	17.6				1360	27.5	18.1	54	13.0	11.1	638	632	55	
ESITC_Caen	1544	27.6	17.6				950	26.4	20.1	4	50.0	0.0	827	801	20	
ESTACA_Laval_Aéronautique_et_spatial										4	0.0	25.0	266	259	2	
ESTACA_Laval_Automobile										7	14.3	28.6	376	343	4	
ESTACA_Paris-Saclay_Aéronautique_et_spatial										4	0.0	25.0	331	334	3	
ESTACA_Paris-Saclay_Automobile_ou_Transports_Guidés										6	0.0	0.0	367	335	4	
Concours ESTACA Paris-Saclay/Laval PSI	1544	27.6	17.6				620	26.0	24.5	21					13	
ECAM_Lyon	778	30.5	15.9				372	28.8	18.5	4	25.0	0.0	295	287	20	
ECAM_Rennes	778	30.5	15.9				687	30.9	16.7	9	55.6	22.2	589	550	18	
ECAM_Strasbourg_Europe	778	30.5	15.9				697	30.7	16.5	17	41.2	35.3	558	528	20	
ECAM-EPMI_Cergy-Pontoise	778	30.5	15.9				722	31.0	16.2	20	30.0	25.0	688	670	20	
UniLasalle_â€“_Rennes_EME	778	30.5	15.9				358	29.3	18.4	0	0.0	0.0	0	0	5	
UniLaSalle_Beauvais_-_Sciences_de_la_Terre_et_Environnement	778	30.5	15.9				622	30.7	15.8	2	50.0	0.0	337	337	4	
EIDD_Paris	671	31.7	14.5				441	30.4	14.3	13	23.1	15.4	325	297	15	
EIL_CÃ´te_d'Opale_-_Calais_(informatique)										12	41.7	25.0	218	217	15	
EIL_CÃ´te_d'Opale_-_Dunkerque__(Génie_Energétique_et_Environnement)										6	33.3	16.7	283	275	5	
EIL_CÃ´te_d'Opale_-_Longuenesse_(Génie_Industriel)										22	27.3	13.6	301	296	30	
Concours EIL CÃ´te d'Opale Longuenesse - Calais - Dunkerque PSI	462	30.1	14.1				389	28.5	13.6	40					50	
ENSAIT_Roubaix										12	50.0	16.7	253	229	15	
ENSAIT_Roubaix__-_Formation_en_alternance										2	100.0	50.0	290	290	2	
